,text,start,end,avg_logprob,no_speech_prob,words,words_start,words_end,words_len,id
0," Chicos,",1.66,8.12,-0.29961981980696967,0.23864835500717163,"[' Chicos,']",[1.66],[8.12],1,audio1
1, pongan atención para que comencemos.,8.94,10.98,-0.29961981980696967,0.23864835500717163,"[' pongan', ' atención', ' para', ' que', ' comencemos.']","[8.94, 9.2, 9.66, 10.0, 10.14]","[9.2, 9.66, 10.0, 10.14, 10.98]",5,audio1
2, Van a ingresar en donde dice mis actividades pendientes.,11.64,16.98,-0.29961981980696967,0.23864835500717163,"[' Van', ' a', ' ingresar', ' en', ' donde', ' dice', ' mis', ' actividades', ' pendientes.']","[11.64, 11.8, 11.94, 12.58, 13.1, 13.28, 13.66, 13.96, 15.02]","[11.8, 11.94, 12.58, 13.1, 13.28, 13.66, 13.96, 15.02, 16.98]",9,audio1
3, Le van a hacer clic donde dice en mis actividades pendientes. A,18.22,22.7,-0.41978780305163454,0.13962644338607788,"[' Le', ' van', ' a', ' hacer', ' clic', ' donde', ' dice', ' en', ' mis', ' actividades', ' pendientes.', ' A']","[18.22, 18.4, 18.56, 18.7, 18.88, 19.2, 19.54, 19.84, 20.06, 20.18, 20.8, 21.34]","[18.4, 18.56, 18.7, 18.88, 19.2, 19.54, 19.84, 20.06, 20.18, 20.8, 21.34, 22.7]",12,audio1
4," mí miren, miren todos acá adelante.",23.88,28.0,-0.5399557862962995,0.04060453176498413,"[' mí', ' miren,', ' miren', ' todos', ' acá', ' adelante.']","[23.88, 25.22, 25.76, 26.8, 27.12, 27.5]","[25.22, 25.66, 26.8, 27.12, 27.5, 28.0]",6,audio1
5, Mis actividades pendiente van a hacer clic.,28.5,33.08,-0.5399557862962995,0.04060453176498413,"[' Mis', ' actividades', ' pendiente', ' van', ' a', ' hacer', ' clic.']","[28.5, 30.9, 31.44, 32.14, 32.4, 32.5, 32.68]","[30.9, 31.44, 32.14, 32.4, 32.5, 32.68, 33.08]",7,audio1
6, Niños.,33.62,42.48,-0.5399557862962995,0.04060453176498413,[' Niños.'],[33.62],[42.48],1,audio1
7," Sí, sí, sí.",43.4,46.52,-0.4533433711275141,0.03982584923505783,"[' Sí,', ' sí,', ' sí.']","[43.4, 45.54, 45.88]","[45.4, 45.62, 46.52]",3,audio1
8," Ya, Chicos, para que abancemos y después puedan trabajar solos.",47.04,51.3,-0.4533433711275141,0.03982584923505783,"[' Ya,', ' Chicos,', ' para', ' que', ' abancemos', ' y', ' después', ' puedan', ' trabajar', ' solos.']","[47.04, 47.46, 48.1, 48.7, 48.88, 49.46, 49.8, 50.0, 50.24, 50.66]","[47.24, 47.72, 48.7, 48.88, 49.46, 49.8, 50.0, 50.24, 50.66, 51.3]",10,audio1
9," Toma haciendo, por favor.",51.92,52.98,-0.4533433711275141,0.03982584923505783,"[' Toma', ' haciendo,', ' por', ' favor.']","[51.92, 52.18, 52.58, 52.68]","[52.18, 52.46, 52.68, 52.98]",4,audio1
10," Chicos, allá.",53.8,54.92,-0.4533433711275141,0.03982584923505783,"[' Chicos,', ' allá.']","[53.8, 54.7]","[54.38, 54.92]",2,audio1
11, Toma siento.,55.9,57.38,-0.4533433711275141,0.03982584923505783,"[' Toma', ' siento.']","[55.9, 57.02]","[57.02, 57.38]",2,audio1
12, Oiga.,58.22,58.44,-0.4533433711275141,0.03982584923505783,[' Oiga.'],[58.22],[58.44],1,audio1
